Name,Points,Score difference
Radovan Gábriš,10,143.0
Martin Mojžíš,10,49.0
Pavel Raus,9,72.0
Martin Čeliňák,9,61.0
Petra Vidnerová,8,-2.0
Tomáš Seidler,7,138.0
Jakub Hertl,7,58.0
Daniel Turek,7,34.0
Michal Böhm,7,-4.0
Tomáš Laube,6,89.0
Martin Boreš,6,76.0
Jakub Vaňátko,6,63.0
Jitka Jarošová,5,-3.0
Lucie Nora Stránská,5,-32.0
Otmar Onderek,3.5,-69.0
Pavel Kukal,3,-107.0
Michal Konfršt,2,1.0
Robert Scholz,2,-59.0
Nikola Chovanová,2,-60.0
Jiří Kůdela,2,-112.0
Tomáš Augustin Kukal,1.5,-41.0
Petr Vilímec,1,-33.0
Vlastimil Havel,1,-96.0
Jiří Walach,0,-166.0
