Name,Points,Score difference
Matyáš Veselý,0,0
Vladimír Suchý,0,0
Josef Marvan,0,0
Štěpán Filipi,0,0
Lucie Poláková,0,0
Ladislav Smejkal,0,0
Vladislav Kuboň,0,0
Jiří Kubát,0,0
Tomáš Nováček,0,0
Jaromír Kovařík,0,0
Luboš Nováček,0,0
Tomáš Rubáč,0,0
Pavla Hladečková,0,0
David Kuboň,0,0
František Růth,0,0
Martin Vidner,0,0
Ladislav Nagy,0,0
Jindřich Marek,0,0
Petra Kudová,0,0
Antonín Štogr,0,0
Petr Horčík,0,0
Ivan Kuncl,0,0
Pavel Bečvář,0,0
Kateřina Šlehoferová,0,0
Libor Svatoň,0,0
Radek Jareš,0,0
Pavel Čejka,0,0
Kateřina Suchá,0,0
Radek Smekal,0,0
Daniel Lehner,0,0
Bohumil Skála,0,0
František Rubáč,0,0
Alan Paulík,0,0
Alžběta Suchanová,0,0
Petr Severa,0,0
Marek Jaroš,0,0
Barbora Moosová,0,0
Hana Skálová,0,0
Simona Fišerová,0,0
Filip Seyfi,0,0
Jindřich Svatoň,0,0
Petr Havránek,0,0
Miroslav Koblic,0,0
Pavlína Malá,0,0
Luboš Vencl,0,0
Dan Fišer,0,0
Daniel Brída,0,0
Barbora Smekalová,0,0
Daniel Dogtěv,0,0
Jitka Havránková,0,0
Anna Kaprálová,0,0
Radek Dupal,0,0
Tomáš Moos,0,0
Milan Barták,0,0
Lukáš Hladeček,0,0
Jana Vítková,0,0
Jana Herberová,0,0
Jana Valentová,0,0
Johana Matějková,0,0
Jarmila Voráčková,0,0
Jan Ungrád,0,0
Tomáš Pachl,0,0
Vojtěch Vondra,0,0
Kateřina Tajovská,0,0
Petr Řezáč,0,0
Vítězslav Svatoň,0,0
Štěpán Rejent,0,0
Václav Honetschläger,0,0
Jan Votoček,0,0
Tomáš Kavka,0,0
Robert Klejch,0,0
Lucie Lomová,0,0
Martin Štancel,0,0
Jan Matějka,0,0
Pavel Váňa,0,0
Alexandr Potěšil,0,0
Lukáš Kovář,0,0
David Kocík,0,0
Zuzana Jaklinová,0,0
Radka Neubergová,0,0
František Čunderlík,0,0
Vít Bečvář,0,0
Kamila Babická,0,0
Radek Zukal,0,0
Alžběta Rejentová,0,0
Tomáš Augustin Kukal,0,0
Valerie Mlynářová,0,0
Šimon Slavík,0,0
Jakub Jeřábek,0,0
Šimon Veselý,0,0
Dominika Jettmarová,0,0
Tomáš Vítek,0,0
Lukáš Salák,0,0
David Haffner,0,0
Pavel Kukal,0,0
Andrea Kukalová,0,0
