Name,Points,Score difference
Martin Kašperlík,4,31.0
Martin Mojžíš,3,109.0
Pavel Hudec,3,72.0
Jan Mikel,3,50.0
Martin Boreš,3,37.0
Jiří Hovorka,2,28.0
Michal Böhm,2,1.0
Michal Konfršt,2,1.0
Alexandra Machalová,2,-10.0
Daniel Musil,2,-24.0
Roman Kašperlík,2,-47.0
Robert Scholz,1,-4.0
Martin Plesnivý,1,-7.0
Tomáš Augustin Kukal,1,-29.0
Jakub Vaňátko,1,-61.0
David Papoušek,0,-147.0
