Name,Points,Score difference
Martin Mojžíš,11,0
Pavel Hudec,11,0
Robert Scholz,9,0
Michal Konfršt,9,0
Martin Boreš,8,0
Michal Böhm,8,0
Tomáš Seidler,8,0
Martin Sotona,8,0
Martina Černá,7,0
Tomáš Augustin Kukal,7,0
Šimon Pajger,7,0
Jiří Hovorka,6,0
Petra Vidnerová,6,0
Dušan Škaloud,6,0
Jakub Hertl,6,0
František Novotný,6,0
Tomáš Laube,6,0
Petr Vilímec,6,0
Jan Novotný,5,0
Petr Chytka,5,0
Hana Řehořová,5,0
Jan Gruber,3,0
Lucie Kubíčková,3,0
Tomáš Novotný,2,0
Pavel Noga,4,0
Tadeáš Zíka,3,0
Stanislav Čihák,3,0
Bianca Kovářová,2,0
Radek Stehlík,2,0
Pavel Raus,2,0
Martin Zeman,2,0
Lucie Nora Stránská,1,0
Daniel Turek,1,0
Vlastimil Havel,1,0
Pavel Kukal,1,0
