Name,Points,Score difference
Matyáš Veselý,4.5,97.0
Martin Mojžíš,4.5,57.0
Marek Rubáš,4,93.0
Jiří Hovorka,4,35.0
Radek Stehlík,4,15.0
Michal Böhm,3.5,78.0
Robert Scholz,3,118.0
Martin Čepelík,3,110.0
Jan Pavlík,3,78.0
Jan Votoček,3,76.0
Karel Scholz,3,62.0
Tomáš Augustin Kukal,3,59.0
Pavla Hladečková,3,-15.0
Daniel Kovárik,3,-28.0
Martin Sotona,2.5,101.0
Roman Krejčík,2,44.0
Svatopluk Šimánek,2,30.0
Michal Konfršt,2,-26.0
Josef Bohumínský,2,-32.0
Hana Vráblíková,2,-90.0
Milena Řeháčková,2,-112.0
Adam Klíma,2,-113.0
Václav Lukáš,1.5,22.0
Pavel Noga,1.5,6.0
Radek Perlovský,1,-18.0
Monika Dvořáková,1,-24.0
Otmar Onderek,1,-74.0
Tomáš Laube,1,-108.0
Jan Klimeš,1,-119.0
Karel Ulman,1,-124.0
Petr Frajvald,1,-124.0
Marek Řeháček,0,-44.0
