Name,Points,Score difference
Martin Mojžíš,5,189.0
Václav Lukáš,4,86.0
Petr Šimůnek,4,58.0
Jan Pavlík,4,55.0
Daniel Kovárik,4,14.0
Michal Böhm,3,110.0
Michal Konfršt,3,73.0
Marek Rubáš,3,60.0
Pavel Šimůnek,3,37.0
Jakub Vaňátko,3,36.0
Pavel Noga,3,25.0
Radek Stehlík,3,-15.0
Robert Scholz,2.5,90.0
Martin Strnad,2.5,-55.0
Josef Bohumínský,2,55.0
Martin Čepelík,2,17.0
Šárka Kynclová,2,9.0
Tomáš Bajer,2,5.0
Petr Sedláček,2,-89.0
Karel Ulman,2,-101.0
Filip Váňa,2,-105.0
Jiří Hovorka,1,7.0
Dana Bělská,1,-68.0
Pavel Kukal,1,-99.0
Otmar Onderek,1,-115.0
Jan Papoušek,0,-279.0
