Name,Points,Score difference
Matyáš Veselý,5,179.0
Michal Konfršt,4,133.0
Tomáš Moos,4,130.0
Martin Mojžíš,4,106.0
David Korejtko,4,71.0
Martin Čepelík,4,55.0
Petra Vidnerová,3,44.0
David Khol,3,40.0
Roman Krejčík,3,34.0
Pavel Noga,3,17.0
Martin Sotona,3,13.0
Tomáš Augustin Kukal,3,2.0
Petr Mišík,3,-4.0
Michal Böhm,3,-17.0
Veronika Gybasová,3,-28.0
Jiří Matoušek,2.5,-34.0
Hana Jelínková,2.5,-48.0
Martin Boreš,2,14.0
Josef Brůna,2,7.0
Radka Neubergová,2,-3.0
Monika Dvořáková,2,-10.0
Zuzana Vytisková,2,-19.0
Zdravko Kalfinov,2,-34.0
Filip Hrádek,2,-40.0
Filip Majer,2,-75.0
Martin Plesnivý,2,-113.0
Martin Galbavý,1,33.0
Ilča Kebzová,1,-63.0
Kateřina Kalfinová,1,-66.0
Robert Scholz,1,-98.0
Lukáš Černý,1,-118.0
Pavel Bečvář,0,-108.0
