Name,Points,Score difference
Martin Mojžíš,4,39.0
Matyáš Veselý,3,146.0
Martin Čepelík,3,60.0
Tomáš Moos,3,58.0
David Korejtko,3,8.0
Šimon Veselý,2,71.0
Roman Krejčík,2,45.0
Michal Konfršt,2,-4.0
Marek Rubáš,2,-14.0
Robert Scholz,2,-42.0
Marek Řeháček,2,-90.0
Stanislav Peter,1,-34.0
Iveta Nagyová,1,-35.0
Martin Galbavý,1,-39.0
Lukáš Černý,1,-49.0
Antonín Štogr,0,-120.0
