Name,Points,Score difference
Martin Mojžíš,4,71.0
Pavel Hudec,3,105.0
Martin Kašperlík,3,49.0
Robert Scholz,3,26.0
Šárka Lukášová,3,-2.0
Tomáš Augustin Kukal,2,64.0
Pavel Šimůnek,2,1.0
Martin Boreš,2,-7.0
Pavel Noga,2,-8.0
Martin Sotona,2,-40.0
Stanislav Čihák,2,-71.0
Martina Černá,1,8.0
Jaroslav Spilka,1,2.0
Otmar Onderek,1,-41.0
Miloš Čeřovský,1,-120.0
Petr Dvořák,0,-37.0
