Name,Points,Score difference
Martin Mojžíš,4,189.0
Pavel Hudec,3,33.0
Martin Kašperlík,3,32.0
Martin Boreš,3,23.0
Michal Böhm,2.5,25.0
Michal Konfršt,2,95.0
Jakub Bares,2,21.0
Radek Stehlík,2,6.0
Zuzana Filipová,2,2.0
Pavel Noga,2,-10.0
Robert Scholz,2,-48.0
Miroslav Musil,1.5,-47.0
Jiří Hovorka,1,-6.0
Hana Řehořová,1,-25.0
Daniel Turek,1,-64.0
Max Votoček,0,-226.0
