Name,Points,Score difference
Matyáš Veselý,5,133.0
Karel Scholz,4,95.0
Vladimír Suchý,4,91.0
Ladislav Nagy,4,73.0
Jan Votoček,4,65.0
Radka Neubergová,4,39.0
Jan Pavlík,3,136.0
Petra Kudová,3,91.0
Luboš Malý,3,55.0
Lukáš Salák,3,19.0
Libor Svatoň,3,8.0
Jana Syrovátková,3,-4.0
Vítězslav Svatoň,3,-7.0
Ondřej Hlaváč,3,-19.0
Šimon Veselý,3,-40.0
Václav Honetschläger,2,50.0
Roman Krejčík,2,23.0
Roman Krafka,2,10.0
Zdravko Kalfinov,2,1.0
Bohumil Skála,2,-6.0
Jindřich Svatoň,2,-7.0
Lucie Poláková,2,-15.0
Věra Maníková,2,-54.0
Robert Klejch,2,-55.0
Levan Bokeria,2,-81.0
Barbora Moosová,1,-35.0
Jan Matějka,1,-63.0
Josef Brůna,1,-64.0
Pavel Bečvář,1,-76.0
Radek Dupal,1,-98.0
Luděk Brázdil,1,-117.0
Šárka Klimešová,1,-148.0
Milan Barták,10.0,0
Lukáš Knapp,10.0,0
Jana Novotná,10.0,0
Marek Jaroš,10.0,0
Daniel Borák,10.0,0
Alexandr Potěšil,10.0,0
Tomáš Moos,10.0,0
Martin Rejent,10.0,0
Filip Černý,10.0,0
Alice Taufmannová,9.0,0
Iveta Nagyová,9.0,0
Jaromír Kovařík,9.0,0
Kateřina Augustinová,9.0,0
Jan Jirkovský,9.0,0
Jan Pour,9.0,0
Eva Rýznarová ml.,9.0,0
Eva Rýznarová,9.0,0
Petr Řezáč,9.0,0
Eva Dupalová,9.0,0
Lucia Nymšová,9.0,0
Tomáš Augustin Kukal,9.0,0
Hana Skálová,9.0,0
Pavlína Malá,9.0,0
Štěpán Kukla,8.0,0
Monika Dvořáková,8.0,0
Alžběta Rejentová,8.0,0
Petr Horčík,8.0,0
Michala Čadová,8.0,0
Alberto Fernández Sánchez,8.0,0
Štěpán Rejent,8.0,0
Miroslav Enžl,7.5,0
Filip Hrádek,7.0,0
Jitka Kuklová,7.0,0
Pavel Kukal,7.0,0
Martin Štancel,7.0,0
Daniel Dogtěv,7.0,0
Kamila Babická,6.0,0
Barbora Janoušková,6.0,0
