Name,Points,Score difference
Martin Mojžíš,5,221.0
Václav Regner,4,103.0
Martin Kašperlík,4,98.0
Matyáš Veselý,4,94.0
Martin Boreš,4,91.0
Michal Böhm,3,47.0
Šárka Lukášová,3,36.0
Václav Lukáš,3,18.0
Petr Sedláček,3,-1.0
Michal Konfršt,3,-42.0
Josef Bohumínský,3,-71.0
Zdravko Kalfinov,2,78.0
Matouš Kurz,2,19.0
Jan Heřman,2,-6.0
Jan Pavlík,2,-8.0
Martin Čepelík,2,-28.0
Pavel Šimůnek,2,-50.0
Jakub Vaňátko,2,-60.0
Pavel Hudec,2,-70.0
Tomáš Burda,2,-92.0
Jana Šimůnková,1,-30.0
Marek Kašperlík,1,-63.0
Stanislav Kučera,1,-113.0
Jiří Hovorka,0,-171.0
