Name,Points,Score difference
Martin Čeliňák,18,198.0
Martin Mojžíš,16,174.0
Pavel Hudec,15,190.0
Barbora Drsová,14,84.0
Michal Konfršt,14,51.0
Roman Krejčík,14,42.0
Pavel Raus,13,68.0
Petra Vidnerová,13,28.0
Tomáš Laube,13,14.0
Tomáš Novotný,13,-5.0
Martin Plesnivý,13,-10.0
Jakub Hertl,12,72.0
David Milota,12,51.0
Michal Böhm,11.5,-51.0
Jan Píro,11.5,-53.0
Robert Scholz,11,54.0
Tomáš Augustin Kukal,10,-29.0
Michal Bláha,10,-63.0
Radek Juřica,10,-68.0
Alevtyna Romanenko,10,-69.0
Daniel Turek,10,-77.0
Vlastimil Havel,9,-79.0
Veronika Němčíková,5,-84.0
Tomáš Vaškovic,5,-90.0
Ondřej Němčík,4,-79.0
Alois Perháč,4,-102.0
Martina Ševčíková,3,-167.0
