Name,Points,Score difference
Matyáš Veselý,4,111.0
Martin Mojžíš,3,89.0
Jiří Krumbholz,3,61.0
Filip Majer,3,5.0
Michal Konfršt,3,-1.0
Roman Krejčík,2.5,43.0
Jan Pavlík,2.5,25.0
Petra Vidnerová,2,54.0
Tomáš Moos,2,11.0
Marek Rubáš,2,-44.0
Pavel Noga,1,35.0
Martin Sotona,1,-13.0
Martina Kmoníčková,1,-24.0
Robert Scholz,1,-81.0
Kateřina Rubášová,1,-99.0
Ondřej Rubáš,0,-172.0
