Name,Points,Score difference
David Korejtko,5,126.0
Matyáš Veselý,4,186.0
Martin Mojžíš,4,100.0
Šimon Veselý,4,77.0
Jan Pavlík,4,69.0
Petra Kudová,4,54.0
Martin Sotona,3,75.0
Michal Konfršt,3,61.0
Martin Galbavý,3,59.0
Josef Brůna,3,34.0
Tomáš Augustin Kukal,3,23.0
Roman Krejčík,3,21.0
Martin Čepelík,3,19.0
Monika Dvořáková,3,-4.0
Zuzana Vytisková,3,-17.0
Petr Povolný,3,-28.0
Karel Scholz,2,52.0
Boris Eninger,2,-8.0
Jakub Rybníček,2,-12.0
Viera Macíková,2,-37.0
Jan Šála,2,-41.0
Veronika Gybasová,2,-42.0
Aneta Petráková,2,-63.0
Aleš Kocián,2,-110.0
Radka Neubergová,1.5,4.0
Pavel Bečvář,1.5,-28.0
Valerie Enningerová,1,-51.0
Zuzana Mannlová,1,-68.0
Helena Bažantová,1,-77.0
Ondřej Rubáš,1,-97.0
Kryštof Sneiberg,1,-103.0
Pavla Cihlářová,0,-174.0
