Name,Points,Score difference
Martin Mojžíš,5,44.0
Matyáš Veselý,4,174.0
Michal Konfršt,4,112.0
Jan Pavlík,4,107.0
Martin Sotona,4,87.0
Roman Krejčík,4,14.0
Robert Scholz,3,84.0
Tomáš Moos,3,40.0
Marek Rubáš,3,30.0
Jiří Hovorka,3,-5.0
Tomáš Augustin Kukal,3,-5.0
Filip Majer,3,-10.0
Jan Franc,3,-11.0
Kateřina Rubášová,3,-18.0
Jan Votoček,3,-23.0
Petr Mišík,3,-42.0
Pavel Noga,2,92.0
Monika Dvořáková,2,67.0
Michal Böhm,2,63.0
Pavel Beránek,2,51.0
Radek Stehlík,2,-36.0
Radka Neubergová,2,-48.0
Martin Plesnivý,2,-68.0
Ondřej Rubáš,2,-76.0
Eva Rýznarová,1,-18.0
Karel Scholz,1,-39.0
Jakub Frühbauer,1,-51.0
Lenka Černá,1,-67.0
Kamil Dušejovský,1,-69.0
Lukáš Smejkal,1,-81.0
Ilča Kebzová,1,-205.0
Anna Štorová,0,-93.0
