Name,Points,Score difference
Pavel Raus,5,93.0
Petra Vidnerová,4,137.0
Martin Mojžíš,4,118.0
Martin Čeliňák,4,100.0
Martin Boreš,4,89.0
Jakub Hertl,3,86.0
Michal Konfršt,3,54.0
Tomáš Laube,3,27.0
Tomáš Novotný,3,23.0
Pavel Šimůnek,3,-9.0
Radim Šimůnek,3,-43.0
Jindřich Procházka,3,-83.0
Tomáš Augustin Kukal,2,47.0
Martin Zeman,2,-23.0
Michal Böhm,2,-38.0
Robert Scholz,2,-53.0
Jakub Moc,2,-55.0
Tomáš Vrzal,2,-63.0
Michaela Šámalová,2,-66.0
Vlastimil Havel,2,-89.0
Roman Adam,2,-115.0
Roman Krejčík,1,76.0
Jitka Jarošová,1,40.0
Jana Šimůnková,1,-10.0
Martin Plesnivý,1,-49.0
Lubomír Šenekl,1,-219.0
