year,position,BGA_Username
2024,1,posij118
2024,2,chonps
2024,3,martypartyouje
2024,3,Simaster 1991
2024,5,smoula
2024,6,Ales84
2025,1,martypartyouje
2025,2,posij118
2025,3,majkls
2025,4,bormar
2025,5,Simaster 1991
2025,6,J0nny
2025,7,Zabza
2025,8,chonps
2025,9,Ouki
2025,10,soustruznice
2025,11,Hurtle_cz
2025,12,smoula
